Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,xG,xAG,xG+xAG,npxG,npxG+xAG,Team
Rodri,es ESP,MF,27.0,34,34,2931.0,8.0,9.0,4.1,3.9,0.24,4.1,8.0,Manchester-City
Phil Foden,eng ENG,"FW,MF",23.0,35,33,2857.0,19.0,8.0,10.3,8.4,0.59,10.3,18.7,Manchester-City
Ederson,br BRA,GK,29.0,33,33,2785.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,Manchester-City
Julián Álvarez,ar ARG,"MF,FW",23.0,36,31,2647.0,11.0,8.0,13.0,6.4,0.66,11.5,17.9,Manchester-City
Kyle Walker,eng ENG,DF,33.0,32,30,2767.0,0.0,4.0,0.4,2.6,0.1,0.4,3.0,Manchester-City
Bernardo Silva,pt POR,"MF,FW",28.0,33,29,2578.0,6.0,9.0,3.7,7.6,0.4,3.7,11.3,Manchester-City
Erling Haaland,no NOR,FW,23.0,31,29,2552.0,27.0,5.0,29.2,4.3,1.18,22.9,27.2,Manchester-City
Rúben Dias,pt POR,DF,26.0,30,28,2559.0,0.0,0.0,1.4,0.3,0.06,1.4,1.7,Manchester-City
Manuel Akanji,ch SUI,"DF,MF",28.0,30,28,2511.0,2.0,0.0,1.9,0.5,0.09,1.9,2.4,Manchester-City
Joško Gvardiol,hr CRO,DF,21.0,28,26,2328.0,4.0,1.0,3.1,1.4,0.18,3.1,4.5,Manchester-City
Nathan Aké,nl NED,DF,28.0,29,24,2042.0,2.0,2.0,2.5,1.2,0.16,2.5,3.7,Manchester-City
Jeremy Doku,be BEL,"FW,MF",21.0,29,18,1595.0,3.0,8.0,2.5,4.6,0.4,2.5,7.1,Manchester-City
Mateo Kovačić,hr CRO,MF,29.0,30,16,1551.0,1.0,0.0,1.3,1.6,0.17,1.3,2.9,Manchester-City
Kevin De Bruyne,be BEL,MF,32.0,18,15,1221.0,4.0,10.0,2.4,11.5,1.03,2.4,14.0,Manchester-City
John Stones,eng ENG,"DF,MF",29.0,16,12,1064.0,1.0,0.0,1.0,0.2,0.11,1.0,1.3,Manchester-City
Jack Grealish,eng ENG,"FW,MF",27.0,20,10,1009.0,3.0,1.0,2.1,2.5,0.41,2.1,4.6,Manchester-City
Rico Lewis,eng ENG,"DF,MF",18.0,16,8,809.0,2.0,0.0,0.6,1.1,0.19,0.6,1.8,Manchester-City
Matheus Nunes,pt POR,MF,24.0,17,7,661.0,0.0,2.0,0.8,1.1,0.27,0.8,2.0,Manchester-City
Stefan Ortega,de GER,GK,30.0,9,5,635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester-City
Oscar Bobb,no NOR,"FW,MF",20.0,14,2,302.0,1.0,1.0,1.4,1.2,0.78,1.4,2.6,Manchester-City
Kalvin Phillips,eng ENG,MF,27.0,4,0,93.0,0.0,0.0,0.1,0.0,0.07,0.1,0.1,Manchester-City
Sergio Gómez,es ESP,"FW,MF",22.0,6,0,53.0,0.0,1.0,0.2,0.2,0.73,0.2,0.4,Manchester-City
Aymeric Laporte,es ESP,DF,29.0,1,0,12.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,Manchester-City
Cole Palmer,eng ENG,MF,21.0,1,0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester-City
James Mcatee,eng ENG,MF,20.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester-City
Scott Carson,eng ENG,GK,37.0,0,0,,,,,,,,,Manchester-City
Micah Hamilton,eng ENG,MF,19.0,0,0,,,,,,,,,Manchester-City
Máximo Perrone,ar ARG,MF,20.0,0,0,,,,,,,,,Manchester-City
Mahamadou Susoho,es ESP,DF,18.0,0,0,,,,,,,,,Manchester-City
Jacob Wright,eng ENG,MF,17.0,0,0,,,,,,,,,Manchester-City
William Saliba,fr FRA,DF,22.0,38,38,3420.0,2.0,1.0,1.6,0.2,0.05,1.6,1.8,Arsenal
Declan Rice,eng ENG,MF,24.0,38,37,3225.0,7.0,8.0,3.3,5.3,0.24,3.3,8.6,Arsenal
Martin Ødegaard,no NOR,MF,24.0,35,35,3091.0,8.0,10.0,7.4,9.6,0.5,5.8,15.5,Arsenal
Ben White,eng ENG,DF,25.0,37,35,2988.0,4.0,4.0,1.2,3.8,0.15,1.2,5.0,Arsenal
Bukayo Saka,eng ENG,FW,21.0,35,35,2919.0,16.0,9.0,15.5,10.5,0.8,10.8,21.2,Arsenal
Gabriel Magalhães,br BRA,DF,25.0,36,34,3044.0,4.0,0.0,4.3,0.7,0.15,4.3,5.0,Arsenal
David Raya,es ESP,GK,27.0,32,32,2880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
Kai Havertz,de GER,"MF,FW",24.0,37,30,2634.0,13.0,7.0,12.3,4.4,0.57,11.6,15.9,Arsenal
Gabriel Martinelli,br BRA,FW,22.0,35,24,2019.0,6.0,4.0,6.8,6.1,0.58,6.8,12.9,Arsenal
Oleksandr Zinchenko,ua UKR,DF,26.0,27,20,1722.0,1.0,2.0,0.6,2.5,0.16,0.6,3.1,Arsenal
Leandro Trossard,be BEL,"FW,MF",28.0,34,18,1649.0,12.0,1.0,7.9,2.8,0.58,7.9,10.7,Arsenal
Gabriel Jesus,br BRA,FW,26.0,27,17,1478.0,4.0,5.0,6.3,3.8,0.62,6.3,10.1,Arsenal
Jakub Kiwior,pl POL,DF,23.0,20,11,946.0,1.0,3.0,0.8,0.9,0.16,0.8,1.7,Arsenal
Takehiro Tomiyasu,jp JPN,DF,24.0,22,10,1149.0,2.0,1.0,1.5,0.4,0.15,1.5,1.9,Arsenal
Eddie Nketiah,eng ENG,FW,24.0,27,10,1082.0,5.0,2.0,4.5,0.8,0.45,4.5,5.4,Arsenal
Jorginho,it ITA,MF,31.0,24,10,921.0,0.0,2.0,0.1,1.4,0.14,0.1,1.5,Arsenal
Thomas Partey,gh GHA,"MF,DF",30.0,14,9,788.0,0.0,0.0,0.4,0.3,0.08,0.4,0.7,Arsenal
Aaron Ramsdale,eng ENG,GK,25.0,6,6,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
Emile Smith Rowe,eng ENG,MF,23.0,13,3,353.0,0.0,1.0,2.0,0.2,0.56,2.0,2.2,Arsenal
Fabio Vieira,pt POR,"MF,FW",23.0,11,2,297.0,1.0,2.0,1.3,1.6,0.87,0.5,2.1,Arsenal
Reiss Nelson,eng ENG,FW,23.0,15,1,268.0,0.0,0.0,0.2,0.6,0.27,0.2,0.8,Arsenal
Jurriën Timber,nl NED,DF,22.0,2,1,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
Cédric Soares,pt POR,DF,31.0,3,0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
Mohamed Elneny,eg EGY,MF,31.0,3,0,28.0,0.0,0.0,0.1,0.0,0.26,0.1,0.1,Arsenal
Ethan Nwaneri,eng ENG,FW,16.0,1,0,14.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,Arsenal
Mauro Bandeira,pt POR,MF,19.0,0,0,,,,,,,,,Arsenal
